DirectorName - unedited,First_Name,Last_Name
Jim Cherry,Jim,Cherry
Mary-Ann Bell,Mary-Ann,Bell
Normand Legault,Normand,Legault
Pierre Comtois,Pierre,Comtois
Robert Cloutier,Robert,Cloutier
Stéphane Gonthier,Stéphane,Gonthier
Johanne LÃ©pine,Johanne,LÃ©pine
Luc Bachand,Luc,Bachand
Michel ThÃ©roux,Michel,ThÃ©roux
Chris Fong,Chris,Fong
Doctor Pat Jamieson,Pat,Jamieson
Frank Meyer,Frank,Meyer
John Zaozirny,John,Zaozirny
Ken Dedeluk,Ken,Dedeluk
Peter Kinash,Peter,Kinash
Robert Smith,Robert,Smith
Douglas Deeth,Douglas,Deeth
Rochelle Fuhrmann,Rochelle,Fuhrmann
Jordan Kupinsky,Jordan,Kupinsky
Patrick Vink,Patrick,Vink
Edward Borkowski,Edward,Borkowski
Mark Thompson,Mark,Thompson
Dennis Balderston,Dennis,Balderston
Doctor Stefan Kaltenbach,Stefan,Kaltenbach
Doctor Ted Bogle,Ted,Bogle
Doctor Werner Zoellner,Werner,Zoellner
Don Streu,Don,Streu
Jeffrey Price,Jeffrey,Price
Sean Roosen,Sean,Roosen
Walter Dawson,Walter,Dawson
Dave Roberts,Dave,Roberts
George Malpass,George,Malpass
Jim Jia,Jim,Jia
Ken Shields,Ken,Shields
Michael Costello,Michael,Costello
Pat Bell,Pat,Bell
Tom Reed,Tom,Reed
Marc Muzzo,Marc,Muzzo
Stanley Goldfarb,Stanley,Goldfarb
John Hunter Craig,John,Craig
Rudolph Peter Bratty,Rudolph,Bratty
John Henry Daniels,John,Daniels
Richard Michael Gambin,Richard,Gambin
Ian McKinnon,Ian,McKinnon
Jeff Bender,Jeff,Bender
Mark Leonard,Mark,Leonard
Mark Miller,Mark,Miller
Paul McFeeters,Paul,McFeeters
Rob Kittel,Rob,Kittel
Sam Hayes,Sam,Hayes
Steve Scotchmer,Steve,Scotchmer
Ari Sussman,Ari,Sussman
Doctor Claudia Jiménez Jaramillo,Claudia,Jiménez Jaraamillo
Doctor Ken Thomas,Ken,Thomas
León Teicher Grauman,León,Teicher Grauman
Martín Carrizosa Calle,Martín,Carrizosa Calle
Paul Murphy,Paul,Murphy
Tim Warman,Tim,Warman
Dave Pryce,Dave,Pryce
Grant Sawiak,Grant,Sawiak
Gordon Ashworth,Gordon,Ashworth
Martin Bernholtz,Martin,Bernholtz
Norman Brewster,Norman,Brewster
Jing Peng,Jing,Peng
Antonio Villarreal,Antonio,Villarreal
Bob Llewellyn,Bob,Llewellyn
Doctor Claude Boulay,Claude,Boulay
Don Lussier,Don,Lussier
George McCarthy,George,McCarthy
Pat Nielsen,Pat,Nielsen
Philippe Dreano,Philippe,Dreano
R O'Driscoll,R,O'Driscoll
Thierry Pourchet,Thierry,Pourchet
Gordon Fretwell,Gordon,Fretwell
Colin Kinley,Colin,Kinley
Michael Haworth,Michael,Haworth
Roderick J.Webster,Roderick,J.Webster
Robert A. Watts,Robert,Watts
Alvin W. Jackson,Alvin,Jackson
Alan Stephens,Alan,Stephens
Michael Philpot,Michael,Philpot
J. Douglas Foster,J.,Foster
Martin Fräss-Ehrfeld,Martin,Fräss-Ehrfeld
James S. McKee,James,McKee
Norman W. Miller,Norman,Miller
Robert D. Penner,Robert,Penner
W. C. (Mike) Seth,W.,Seth
Stephen J. Moran,Stephen,Moran
Phillip R. Knoll,Phillip,Knoll
Martin Ehrfeld,Martin,Ehrfeld
Mike Seth,Mike,Seth
Barry James,Barry,James
Cathy Roozen,Cathy,Roozen
Doug Murphy,Doug,Murphy
Fernand Bélisle,Fernand,Bélisle
Heather Shaw,Heather,Shaw
John Frascotti,John,Frascotti
Julie Shaw,Julie,Shaw
Mark Hollinger,Mark,Hollinger
Michael D'Avella,Michael,D'Avella
Peter Bissonnette,Peter,Bissonnette
Terry Royer,Terry,Royer
Trevor English,Trevor,English
Catherine Gignac,Catherine,Gignac
Ed Yarrow,Ed,Yarrow
Jeff Pontius,Jeff,Pontius
Rowland Perkins,Rowland,Perkins
Steve Aaker,Steve,Aaker
Tony Drescher,Tony,Drescher
Andy Prozes,Andy,Prozes
BJ Hess,BJ,Hess
David Gibbons,David,Gibbons
Eric Rosenfeld,Eric,Rosenfeld
George Burnett,George,Burnett
Graham Savage,Graham,Savage
Gregory Monahan,Gregory,Monahan
Jerry Fowden,Jerry,Fowden
Mario Pilozzi,Mario,Pilozzi
Mark Benadiba,Mark,Benadiba
Steve Halperin,Steve,Halperin
Bruce Joyce,Bruce,Joyce
Chris Cooper,Chris,Cooper
Donovan Jones,Donovan,Jones
Larry Timlick,Larry,Timlick
Owen Matthews,Owen,Matthews
Sir Terry Matthews,Terry,Matthews
Barbara Munroe,Barbara,Munroe
Bob Heinemann,Bob,Heinemann
D Gillard,D,Gillard
Gerry Romanzin,Gerry,Romanzin
Greg Turnbull,Greg,Turnbull
Laura Cillis,Laura,Cillis
Peter Bannister,Peter,Bannister
Rene Amirault,Rene,Amirault
Scott Saxberg,Scott,Saxberg
Dale Shwed,Dale,Shwed
David Smith,David,Smith
Dennis Nerland,Dennis,Nerland
Jeff Errico,Jeff,Errico
John Brussa,John,Brussa
George Watson,George,Watson
Dennis Nerland,Dennis,Nerland
Alykhan Mamdani,Alykhan,Mamdani
Gary Bentham,Gary,Bentham
Kevin Lo,Kevin,Lo
Nizar Jaffer Somji,Nizar,Jaffer Somji
Thomas Ulrich,Thomas,Ulrich
William Hammett,William,Hammett
Murray Smith,Murray,Smith
Michael Fallquist,Michael,Fallquist
Bob Huggard,Bob,Huggard
Brian Burden,Brian,Burden
Dan Sullivan,Dan,Sullivan
Dave Kerr,Dave,Kerr
Jim Ajello,Jim,Ajello
Jason Shannon,Jason,Shannon
Bradd Gold,Bradd,Gold
Colin King,Colin,King
Guy Muzio,Guy,Muzio
J Gardhouse,J,Gardhouse
J Pottle,J,Pottle
Robert Wolf,Robert,Wolf
Tom Cholnoky,Tom,Cholnoky
George Fowlie,George,Fowlie
C. Robert Gillis,C.,Gillis
Glen Roane,Glen,Roane
Alan Rowe,Alan,Rowe
Peter Snucins,Peter,Snucins
Christopher Johnson,Christopher,Johnson
Sandra Cowan,Sandra,Cowan
Joseph A. August,Joseph,August
Chirag Bhavsar,Chirag,Bhavsar
Mark D. Mickleborough,Mark,Mickleborough
Bryan Osmar,Bryan,Osmar
Randolph W. Pinna,Randolph,Pinna
V. James Sardo,V.,Sardo
Linda Stromme,Linda,Stromme
James D.A. White,James,White
Nan Hutchinson,Nan,Hutchinson
Gary Collins,Gary,Collins
Sylvain Lafrance,Sylvain,Lafrance
Élaine Cousineau Phénix,Élaine,Cousineau Phénix
Louis Bernier,Louis,Bernier
Jean Lamarre,Jean,Lamarre
Claude Mc Master,Claude,McMaster
Kit Dalaroy,Kit,Dalaroy
Mike Sifton,Mike,Sifton
Greg Cochrane,Greg,Cochrane
J Ward,J,Ward
William Albino,William,Albino
Michael Blair,Michael,Blair
Rod Phillips,Rod,Phillips
Harinder Takhar,Harinder,Takhar
Lukas Lundin,Lukas,Lundin
Bill Rand,Bill,Rand
Brian Edgar,Brian,Edgar
Catherine Stefan,Catherine,Stefan
Ron Hochstein,Ron,Hochstein
W Dengler,W,Dengler
Brad Nullmeyer,Brad,Nullmeyer
Cara Heiden,Cara,Heiden
Deborah Kerr,Deborah,Kerr
Ellen Costello,Ellen,Costello
Gerrard Schmid,Gerrard,Schmid
Mike Foulkes,Mike,Foulkes
Paul Damp,Paul,Damp
Catherine Tait,Catherine,Tait
Dana Landry,Dana,Landry
David Colville,David,Colville
Deborah Drisdell,Deborah,Drisdell
Don Wright,Don,Wright
Elizabeth Beale,Elizabeth,Beale
Geoff Machum,Geoff,Machum
Michael Donovan,Michael,Donovan
Rob Sobey,Rob,Sobey
Sir Graham Day,Graham,Day
Chris McGinley,Chris,McGinley
Denise Karkkainen,Denise,Karkkainen
Diana de Callejon,Diana,de Callejon
Greg Burke,Greg,Burke
Larry Fairholm,Larry,Fairholm
Mogens Smed,Mogens,Smed
Scott Jenkins,Scott,Jenkins
Steve Parry,Steve,Parry
Wayne Boulais,Wayne,Boulais
Jen Lee Koss,Jen,Koss
Joanne Ferstman,Joanne,Ferstman
Michael Cooper,Michael,Cooper
Ned Goodman,Ned,Goodman
P Gavan,P,Gavan
Rick Gateman,Rick,Gateman
Vicky Schiff,Vicky,Schiff
Vincenza Sera,Vincenza,Sera
Jane Gavan,Jane,Gavan
Bob Hodgkinson,Bob,Hodgkinson
Craig Sturrock,Craig,Sturrock
Doctor Arthur Gorrell,Arthur,Gorrell
Jamie Dai,Jamie,Dai
Ron Bozzer,Ron,Bozzer
Doctor Nikki Adshead-Bell,Nikki,Adshead-Bell
Jim Rutherford,Jim,Rutherford
Jonathan Rubenstein,Jonathan,Rubenstein
Patrick Anderson,Patrick,Anderson
Patrick Downey,Patrick,Downey
Ron Gagel,Ron,Gagel
Sean Roosen,Sean,Roosen
Tom Obradovich,Tom,Obradovich
Suneet Singh Tuli,Suneet,Singh Tuli
Raja Singh Tuli,Raja,Singh Tuli
Nicholas Bearsted,Nicholas,Bearsted
Jonathan Brockhouse,Jonathan,Brockhouse
Chander Dhawan,Chander,Dhawan
John Kendall Gillberry,John,Gillberry
Andrew Osis,Andrew,Osis
Bob Lehodey,Bob,Lehodey
David Reid,David,Reid
David Sandmeyer,David,Sandmeyer
Harry Campbell,Harry,Campbell
Lamont Tolley,Lamont,Tolley
Bob Dengler,Bob,Dengler
Alex Morrison,Alex,Morrison
André Falzon,André,Falzon
Graham Wozniak,Graham,Wozniak
Ingrid Hibbard,Ingrid,Hibbard
Jonathan Rubenstein,Jonathan,Rubenstein
Lisa Colnett,Lisa,Colnett
Mike Kenyon,Mike,Kenyon
Paul Martin,Paul,Martin
Rob Doyle,Rob,Doyle
Henry Kneis,Henry,Kneis
Jason Marks,Jason,Marks
John Albright,John,Albright
Mike Wekerle,Mike,Wekerle
Riyaz Lalani,Riyaz,Lalani
R Bradley Hurtubise,R,Hurtubise
Gary H Dundas,Gary,Dundas
Ronald G Waxman,Ronald,Waxman
Jeffrey J Smith,Jeffrey,Smith
Leroy (Lee) E Thiessen,Leroy,Thiessen
Barry G Sechos,Barry,Sechos
Admiral Mike Mullen,Mike,Mullen
Adrian Pasricha,Adrian,Pasricha
Alain Benedetti,Alain,Benedetti
G Krediet,G,Krediet
Ken Rotman,Ken,Rotman
Michael Grasty,Michael,Grasty
Rod Phillips,Rod,Phillips
Johnny Ciampi,Johnny,Ciampi
Lorie Haber,Lorie,Haber
Mitch Gropper,Mitch,Gropper
Murray Coleman,Murray,Coleman
Paula Rogers,Paula,Rogers
Elisa Garcia C,Elisa,Garcia
Gregory David,Gregory,David
John Swidler,John,Swidler
John Thomas,John,Thomas
Josh Bekenstein,Josh,Bekenstein
Laki Nomicos,Laki,Nomicos
Larry Rossy,Larry,Rossy
Neil Rossy,Neil,Rossy
Richard Roy,Richard,Roy
Steven Gunn,Steven,Gunn
Winston Ash,Winston,Ash
John Blair,John,Blair
Michael Blair,Michael,Blair
Barry Cracower,Barry,Cracower
R. Peter McLaughlin,R.,McLaughlin
Paul Scarafile,Paul,Scarafile
Christopher Wallace,Christopher,Wallace
Bob Gannicott,Bob,Gannicott
Brendan Bell,Brendan,Bell
Dan Jarvis,Dan,Jarvis
Graham Clow,Graham,Clow
Jim Gowans,Jim,Gowans
Josef Vejvoda,Josef,Vejvoda
The Hon. Chuck Strahl,Chuck,Strahl
Tom Kenny,Tom,Kenny
Alain Benedetti,Alain,Benedetti
Alan Schwartz,Alan,Schwartz
Dian Cohen,Dian,Cohen
Jeff Segel,Jeff,Segel
Jeffrey Schwartz,Jeffrey,Schwartz
Martin Schwartz,Martin,Schwartz
Maurice Tousson,Maurice,Tousson
Michelle Cormier,Michelle,Cormier
Rupert Duchesne,Rupert,Duchesne
Cesar Cesaratto,Cesar,Cesaratto
Claude Haw,Claude,Haw
Lori O’Neill,Lori,O’Neill
Peter Allen,Peter,Allen
Patrick Houston,Patrick,Houston
Ceasar Cesaratto,Ceasar,Cesaratto
Detlef Bierbaum,Detlef,Bierbaum
Doctor R Bhatia,R,Bhatia
Duncan Jackman,Duncan,Jackman
Jane Gavan,Jane,Gavan
Johann Koss,Johann,Koss
John Sullivan,John,Sullivan
Michael Cooper,Michael,Cooper
Andrew Lapham,Andrew,Lapham
David Kaufman,David,Kaufman
James Eaton,James,Eaton
Ben Mulroney,Ben,Mulroney
Johann Koss,Johann,Koss
Leerom Segal,Leerom,Segal
Michael Cooper,Michael,Cooper
Rob Goodall,Rob,Goodall
Sheldon Wiseman,Sheldon,Wiseman
Vincenza Sera,Vincenza,Sera
Detlef Bierbaum,Detlef,Bierbaum
Don Charter,Don,Charter
Duncan Jackman,Duncan,Jackman
Joanne Ferstman,Joanne,Ferstman
Karine Macindoe,Karine,Macindoe
Michael Cooper,Michael,Cooper
Rob Goodall,Rob,Goodall
The Hon. Doctor Khristinn Leitch,Khristinn,Leitch
Alistair Sinclair Jr,Alistair,Sinclair
Andrew Molson,Andrew,Molson
Dan Goodman,Dan,Goodman
David Goodman,David,Goodman
Garth MacRae,Garth,MacRae
Kenneth Sparks,Kenneth,Sparks
Mark Goodman,Mark,Goodman
Ned Goodman,Ned,Goodman
Robert McLeish,Robert,McLeish
Sonny Gordon,Sonny,Gordon
Virginia Gambale,Virginia,Gambale
John Cowan,John,Cowan
Harold P. Gordon,Harold,Gordon
Samuel W. Ingram,Samuel,Ingram
M. Jaffar Khan,M.,Jaffar Khan
Garth A. C. MacRae,Garth,MacRae
Bruce Sherley,Bruce,Sherley
Michael Smith,Michael,Smith
Cameron Berry,Cameron,Berry
Donald Young,Donald,Young
Garth MacRae,Garth,MacRae
Jeremy Kinsman,Jeremy,Kinsman
Jonathan Goodman,Jonathan,Goodman
Marie-Anne Tawil,Marie-Anne,Tawil
Peter Nixon,Peter,Nixon
R Gillin,R,Gillin
Rick Howes,Rick,Howes
Tony Walsh,Tony,Walsh
William John,William,John
Murray John,Murray,John
Marc Duchesne,Marc,Duchesne
Pierre Lépine,Pierre,Lépine
Eddy Canova,Eddy,Canova
Roger Demers,Roger,Demers
Jean Martineau,Jean,Martineau
Jean Depatie,Jean,Depatie
Len Clough,Len,Clough
Mark Bailey,Mark,Bailey
Rob Washer,Rob,Washer
Biff Matthews,Biff,Matthews
Clive Rowe,Clive,Rowe
Duncan Jackman,Duncan,Jackman
James Billett Jr,James,Billett
John Barron,John,Barron
Mark Taylor,Mark,Taylor
Michael Cooper,Michael,Cooper
The Hon. Hal Jackman,Hal,Jackman
William Corcoran,William,Corcoran
Brian Tod,Brian,Tod
Chuck Sanders,Chuck,Sanders
Don Goodwill,Don,Goodwill
Dwayne Hunka,Dwayne,Hunka
John Stevens,John,Stevens
Mark Maybank,Mark,Maybank
Peter Lacey,Peter,Lacey
Rod Marlin,Rod,Marlin
David R. Parkinson,David,Parkinson
Richard M. Glickman,Richard,Glickman
Marianne Sadar,Marianne,Sadar
Raymond Andersen,Raymond,Andersen
Gary Sollis,Gary,Sollis
Franklin M. Berger,Franklin,Berger
Scott Requadt,Scott,Requadt
Duncan Jessiman,Duncan,Jessiman
Mike Pyle,Mike,Pyle
Al Davis,Al,Davis
Don Streuber,Don,Streuber
Edward Warkentin,Edward,Warkentin
Gary Buckley,Gary,Buckley
Jeff Olin,Jeff,Olin
Serena Kraayeveld,Serena,Kraayeveld
The Hon. Gary Filmon,Gary,Filmon
W Bennett,W,Bennett
Claude SÃ©guin,Claude,SÃ©guin
Darryl Edwards,Darryl,Edwards
FranÃ§ois CÃ´tÃ©,FranÃ§ois,CÃ´tÃ©
Germain Lamonde,Germain,Lamonde
Pierre-Paul Allard,Pierre-Paul,Allard
Randy Tornes,Randy,Tornes
Bruce Gibson,Bruce,Gibson
Dave Fitzpatrick,Dave,Fitzpatrick
Richard Clark,Richard,Clark
Warren Steckley,Warren,Steckley
Blair Schultz,Blair,Schultz
Claude Lemasson,Claude,Lemasson
Doctor Laurie Curtis,Laurie,Curtis
George Salamis,George,Salamis
Mike Hoffman,Mike,Hoffman
Stephen de Jong,Stephen,de Jong
Timo Jauristo,Timo,Jauristo
Andrew Pastor,Andrew,Pastor
Angus Ross,Angus,Ross
Ani Hotoyan-Joly,Ani,Hotoyan-Joly
D Wallace,D,Wallace
James Reeve,James,Reeve
Peter Crawford,Peter,Crawford
Rob Purves,Rob,Purves
Serge Lavoie,Serge,Lavoie
Sharon Ranson,Sharon,Ranson
Anna El-Erian,Anna,El-Erian
Hubert Marleau,Hubert,Marleau
Anna Stylianides,Anna,Stylianides
Arthur Carty,Arthur,Carty
Paul Lucas,Paul,Lucas
Jeff MacDonald,Jeff,MacDonald
John E. Barker,John,Barker
Jeffrey Nodland,Jeffrey,Nodland
John E Baker,John,Baker
Jack S. Darville,Jack,Darville
Duncan N.R. Jackman,Duncan,Jackman
M. Victoria D. Jackman,M.,Jackman
R.B. Matthews,R.B.,Matthews
J. Michael Rolland,J.,Rolland
Mark M. Taylor,Mark,Taylor
Kevin J. Warn-Schindel,Kevin,Warn-Schindel
Doctor Mike Price,Mike,Price
Geoff Handley,Geoff,Handley
John Webster,John,Webster
Jonathan Rubenstein,Jonathan,Rubenstein
Keith Cory,Keith,Cory
Pam Gibson,Pam,Gibson
Paul Wright,Paul,Wright
Robby Gilmore,Robby,Gilmore
Steve Reid,Steve,Reid
Doctor Alex McLean,Alex,McLean
Doctor Bejoy Das Gupta,Bejoy,Das Gupta
Doctor Sankar Das Gupta,Sankar,Das Gupta
Ralph Lean,Ralph,Lean
Bill Lovatt,Bill,Lovatt
Doctor Joan Lamm-Tennant,Joan,Lamm-Tennant
Richard Venn,Richard,Venn
Steve Hudson,Steve,Hudson
The Hon. Brian Tobin,Brian,Tobin
Allan Edgeworth,Allan,Edgeworth
Andrea Rosen,Andrea,Rosen
B Loewen,B,Loewen
Chris Huskilson,Chris,Huskilson
Doctor Don Pether,Don,Pether
Doctor Sylvia Chrominska,Sylvia,Chrominska
Henry Demone,Henry,Demone
J Leonard,J,Leonard
Jackie Sheppard,Jackie,Sheppard
Jim Eisenhauer,Jim,Eisenhauer
John McLennan,John,McLennan
Rick Sergel,Rick,Sergel
Bill Linton,Bill,Linton
Bonnie Brooks,Bonnie,Brooks
Cynthia Devine,Cynthia,Devine
Doctor Paul Sobey,Paul,Sobey
Frank Sobey,Frank,Sobey
Jim Dickson,Jim,Dickson
John Sobey,John,Sobey
Karl Sobey,Karl,Sobey
Marc Poulin,Marc,Poulin
Martine Turcotte,Martine,Turcotte
Rob Dexter,Rob,Dexter
Rob Sobey,Rob,Sobey
Steve Savidant,Steve,Savidant
Sue Lee,Sue,Lee
The Hon. Doctor Kevin Lynch,Kevin,Lynch
Al Monaco,Al,Monaco
Cathy Williams,Cathy,Williams
Charlie Fischer,Charlie,Fischer
Dan Tutcher,Dan,Tutcher
David Arledge,David,Arledge
Doctor Vera Kempston Darkes,Vera,Kempston Darkes
George Petty,George,Petty
Herb England,Herb,England
Marcel Coutu,Marcel,Coutu
Rebecca Roberts,Rebecca,Roberts
The Hon. Jim Blanchard,Jim,Blanchard
Brian Frank,Brian,Frank
Bruce Waterman,Bruce,Waterman
Cathy Williams,Cathy,Williams
Charlie Fischer,Charlie,Fischer
Harry Roberts,Harry,Roberts
J Bird,J,Bird
Charles W Fischer,Charles,Fischer
Brian Shaw,Brian,Shaw
Bruce Waterman,Bruce,Waterman
Clayton Woitas,Clayton,Woitas
Doug Suttles,Doug,Suttles
Fred Fowler,Fred,Fowler
Howard Mayson,Howard,Mayson
Jane Peverett,Jane,Peverett
Lee McIntire,Lee,McIntire
Margaret McKenzie,Margaret,McKenzie
Peter Dea,Peter,Dea
Suzanne Nimocks,Suzanne,Nimocks
Michael Beckett,Michael,Beckett
Ian Cockerill,Ian,Cockerill
Olivier Colom,Olivier,Colom
Ian Henderson,Ian,Henderson
Wayne McManus,Wayne,McManus
Naguib Sawiris,Naguib,Sawiris
Sebastien de Montessus,Sebastien,de Montessus
Miguel Rodriguez,Miguel,Rodriguez
Frank Giustra,Frank,Giustra
Brad Cooke,Brad,Cooke
Geoff Handley,Geoff,Handley
Godfrey Walton,Godfrey,Walton
Ken Pickering,Ken,Pickering
Mario Szotlender,Mario,Szotlender
Rex McLennan,Rex,McLennan
Ricardo Campoy,Ricardo,Campoy
Bill Wells,Bill,Wells
Grace Palombo,Grace,Palombo
Jim Pantelidis,Jim,Pantelidis
John Macdonald,John,Macdonald
Lisa de Wilde,Lisa,de Wilde
M Patava,M,Patava
Mike Rousseau,Mike,Rousseau
Roy Pearce,Roy,Pearce
Bob Boswell,Bob,Boswell
Helen Wesley,Helen,Wesley
J Goertzen,J,Goertzen
Mike Weill,Mike,Weill
Stan Marshall,Stan,Marshall
Steve Savidant,Steve,Savidant
W Dunn,W,Dunn
Wayne Hill,Wayne,Hill
Ames Brown,Ames,Brown
Bruce Hansen,Bruce,Hansen
Dennis Higgs,Dennis,Higgs
Glenn Catchpole,Glenn,Catchpole
Hyung Bae,Hyung,Bae
J Bovaird,J,Bovaird
Paul Carroll,Paul,Carroll
Ron Hochstein,Ron,Hochstein
Steve Antony,Steve,Antony
Bob Hodgins,Bob,Hodgins
David Barr,David,Barr
Elliott Pew,Elliott,Pew
Glen Roane,Glen,Roane
Hilary Foulkes,Hilary,Foulkes
Ian Dundas,Ian,Dundas
Mike Culbert,Mike,Culbert
Sheldon Steeves,Sheldon,Steeves
Sue MacKenzie,Sue,MacKenzie
Eric Demirian,Eric,Demirian
John Gibson,John,Gibson
Paul Stoyan,Paul,Stoyan
Pierre Lassonde,Pierre,Lassonde
Reid Drury,Reid,Drury
Steve Sadler,Steve,Sadler
Barth Whitham,Barth,Whitham
Bob Geddes,Bob,Geddes
Cary Moomjian Jr,Cary,Moomjian
Gail Surkan,Gail,Surkan
Jim Howe,Jim,Howe
John Schroeder,John,Schroeder
Ken Skirka,Ken,Skirka
Len Kangas,Len,Kangas
N Edwards,N,Edwards
Des O'Kell,Des,O'Kell
John Campbell,John,Campbell
John Pinsent,John,Pinsent
Len Jaroszuk,Len,Jaroszuk
Neil Darling,Neil,Darling
Alan Edwards,Alan,Edwards
Anna El-Erian,Anna,El-Erian
James Harris,James,Harris
Mark Bailey,Mark,Bailey
Stephen Scott,Stephen,Scott
The Hon. Lord Michael Howard of Lympne,Michael,Howard
Anna Stylianides,Anna,Stylianides
Adrian Montgomery,Adrian,Montgomery
John Lovoi,John,Lovoi
Matt Dougherty,Matt,Dougherty
Mike Raleigh,Mike,Raleigh
Ryan Roebuck,Ryan,Roebuck
Andrew Moor,Andrew,Moor
David LeGresley,David,LeGresley
Eric Beutel,Eric,Beutel
Johanne Brossard,Johanne,Brossard
Lynn McDonald,Lynn,McDonald
Michael Emory,Michael,Emory
Mike Stramaglia,Mike,Stramaglia
Professor Eric Kirzner,Eric,Kirzner
Rowan Saunders,Rowan,Saunders
Vincenza Sera,Vincenza,Sera
Bradley R. Kipp,Bradley,Kipp
Stephen Griggs,Stephen,Griggs
Michael R. Jones,Michael,Jones
Michèle McCarthy,Michèle,McCarthy
F. David Rounthwaite,F.,Rounthwaite
Brendan Calder,Brendan,Calder
Martin Ouellet,Martin,Ouellet
Calvin Younger,Calvin,Younger
Peter Friedmann,Peter,Friedmann
Yousry Bissada,Yousry,Bissada
William Mulvihill,William,Mulvihill
Glen Silvestri,Glen,Silvestri
Will Burton,Will,Burton
Thomas Croft,Thomas,Croft
John Byrne,John,Byrne
Philip L. Webster,Philip,Webster
Peter C. Akerley,Peter,Akerley
Chris Cowan,Chris,Cowan
Jaison Dolvane,Jaison,Dolvane
Kumanan Yogaratnam,Kumanan,Yogaratnam
Peter Seeligsohn,Peter,Seeligsohn
Michael Lee,Michael,Lee
Tawfiq Arafat,Tawfiq,Arafat
Michael Hayashi,Michael,Hayashi
Bob German,Bob,German
Bob Michaleski,Bob,Michaleski
Garnet Amundson,Garnet,Amundson
Jim Banister,Jim,Banister
Michael Black,Michael,Black
Nick Kirton,Nick,Kirton
Ian H. Lundin,Ian,Lundin
C. Ashley Heppenstall,C.,Heppenstall
Aksel Azrac,Aksel,Azrac
Marco A. Northland,Marco,Northland
Garrett Soden,Garrett,Soden
Brian Piccioni,Brian,Piccioni
Christopher Colclough,Christopher,Colclough
Doctor Ian McWalter,Ian,McWalter
Doctor Thomas Pistor,Thomas,Pistor
Doug DeBruin,Doug,DeBruin
Rakesh Patel,Rakesh,Patel
Romolo Magarelli,Romolo,Magarelli
Brendan Cahill,Brendan,Cahill
Alan McFarland,Alan,McFarland
Andre Fortier,Andre,Fortier
Oliver Fernández,Oliver,Fernández
Timothy Ryan,Timothy,Ryan
Thor Eaton,Thor,Eaton
Ned Goodman,Ned,Goodman
Bob Magee,Bob,Magee
Brian Robbins,Brian,Robbins
Ed Kernaghan,Ed,Kernaghan
Laurie Bennett,Laurie,Bennett
Nicole Kirk,Nicole,Kirk
Peter van Schaik,Peter,van Schaik
Philip Matthews,Philip,Matthews
Bryce Roxburgh,Bryce,Roxburgh
John Simmons,John,Simmons
Julian Bavin,Julian,Bavin
Rob Reynolds,Rob,Reynolds
Yale Simpson,Yale,Simpson
Alan Hibben,Alan,Hibben
Alan Torrie,Alan,Torrie
Ben Hutzel,Ben,Hutzel
Donna Kingelin,Donna,Kingelin
Fred Waks,Fred,Waks
Gail Paech,Gail,Paech
Margery Cunningham,Margery,Cunningham
Sandra Hanington,Sandra,Hanington
Tim Lukenda,Tim,Lukenda
Clive Newall,Clive,Newall
Martin Rowley,Martin,Rowley
Philip Pascall,Philip,Pascall
Andrew Adams,Andrew,Adams
Bob Harding,Bob,Harding
Martin Schady,Martin,Schady
Paul Brunner,Paul,Brunner
Peter St George,Peter,St George
Bernie Ghert,Bernie,Ghert
D Patterson,D,Patterson
Erin Wallace,Erin,Wallace
Fred Reichheld,Fred,Reichheld
Jay Hennick,Jay,Hennick
Michael Stein,Michael,Stein
Professor Brendan Calder,Brendan,Calder
Alan Horn,Alan,Horn
Ben Watsa,Ben,Watsa
Bob Gunn,Bob,Gunn
Brandon Sweitzer,Brandon,Sweitzer
John Palmer,John,Palmer
Tim Price,Tim,Price
Tony Griffiths,Tony,Griffiths
Vivian Watsa,Vivian,Watsa
Punita Kumar-Sinha,Punita,Kumar-Sinha
Anthony F. Griffiths,Anthony,Griffiths
Christopher D. Hodgson,Christopher,Hodgson
Alan D. Horn,Alan,Horn
Deepak Parekh,Deepak,Parekh
Harsha Raghavan,Harsha,Raghavan
Chandran Ratnaswami,Chandran,Ratnaswami
V. Prem Watsa,V.,Watsa
Adrian Haigh,Adrian,Haigh
Chris Rallis,Chris,Rallis
Doctor Khalid Islam,Khalid,Islam
Rosty Raykov,Rosty,Raykov
Arthur Scace,Arthur,Scace
Brian Davis,Brian,Davis
David Pennycook,David,Pennycook
David Shaw,David,Shaw
Jean-Claude Monty,Jean-Claude,Monty
Jean-Guy Desjardins,Jean-Guy,Desjardins
Keith Crone,Keith,Crone
Lise Pistono,Lise,Pistono
Louis Vachon,Louis,Vachon
Raymond Laurin,Raymond,Laurin
Sylvain Brosseau,Sylvain,Brosseau
Todd Morgan,Todd,Morgan
Chris Patterson,Chris,Patterson
Doug Whitehead,Doug,Whitehead
Jacynthe Côté,Jacynthe,Côté
Jim Carter,Jim,Carter
John Reid,John,Reid
Kathleen O'Neill,Kathleen,O'Neill
Kevin Neveu,Kevin,Neveu
L Thomson,L,Thomson
Marcelo Awad,Marcelo,Awad
Mike Wilson,Mike,Wilson
Nicky Hartery,Nicky,Hartery
Stu Levenick,Stu,Levenick
Mike Andrade,Mike,Andrade
Robert Beutel,Robert,Beutel
David Masotti,David,Masotti
Brad Bourne,Brad,Bourne
